Country,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date
RU,Chara,56.91,118.26,17.42,86,53,4.21,1602704835
PH,Palimbang,6.21,124.19,77.9,79,100,8.46,1602704836
RU,Nizhniy Tsasuchey,50.52,115.13,25.92,86,0,8.99,1602704836
CD,Bukama,-9.2,25.85,76.96,73,84,1.54,1602704836
US,Freeport,40.66,-73.58,70.0,42,1,11.41,1602704614
RU,Petropavlovsk-Kamchatskiy,53.05,158.65,41.0,100,75,2.24,1602704837
IR,Ardakān,32.31,54.02,53.6,10,0,4.7,1602704837
CA,Rosetown,51.55,-108.0,41.0,36,48,15.01,1602704837
BR,Maceió,-9.67,-35.74,82.4,65,40,12.75,1602704837
IN,Port Blair,11.67,92.75,80.53,81,99,13.49,1602704838
TR,Soma,39.19,27.61,62.6,77,0,0.87,1602704839
BR,Santa Maria,-29.68,-53.81,73.62,64,100,4.99,1602704839
RU,Serov,59.6,60.58,41.32,84,84,11.56,1602704839
IN,Mahabalipuram,12.63,80.17,82.4,65,40,2.24,1602704839
IN,Vasai,19.47,72.8,80.6,100,90,5.82,1602704575
CA,Fort Saint James,54.43,-124.25,46.56,54,0,10.74,1602704840
ID,Merauke,-8.47,140.33,77.65,86,99,11.97,1602704840
AR,Necochea,-38.55,-58.74,55.0,70,0,11.01,1602704840
PT,Rabo de Peixe,37.8,-25.58,69.8,83,20,10.29,1602704840
BR,São Félix do Xingu,-6.64,-51.99,94.06,33,24,5.48,1602704841
PH,Pitogo,13.78,122.09,76.55,91,100,3.83,1602704841
NO,Raudeberg,61.99,5.14,46.99,73,2,20.13,1602704841
MG,Anjozorobe,-18.4,47.87,66.2,77,75,10.29,1602704841
CL,Coyhaique,-45.58,-72.07,57.2,41,100,5.82,1602704654
US,Washington,47.5,-120.5,57.99,71,80,1.01,1602704746
IN,Dwārka,22.24,68.97,87.73,40,51,8.39,1602704842
KY,Bodden Town,19.28,-81.25,84.99,94,40,5.82,1602704717
BZ,San Ignacio,17.16,-89.07,88.0,66,40,4.7,1602704638
CN,Kashgar,39.45,75.98,53.6,32,0,11.18,1602704843
KE,Makueni Boma,-1.8,37.62,68.04,71,18,9.33,1602704843
SN,Oussouye,12.48,-16.55,84.2,83,20,4.7,1602704843
ET,Mēga,4.05,38.3,63.25,86,83,5.19,1602704844
CA,Tuktoyaktuk,69.45,-133.04,26.6,79,75,24.16,1602704844
IL,Kiryat Gat,31.61,34.76,77.0,84,0,4.29,1602704582
ET,Debre Tabor,11.85,38.02,51.64,92,98,1.95,1602704845
RU,Ekimchan,53.07,132.97,20.48,93,100,7.9,1602704845
LK,Hambantota,6.12,81.12,78.8,100,20,3.36,1602704845
RE,Saint-Leu,-21.15,55.28,75.2,83,90,1.12,1602704845
BJ,Porto-Novo,6.5,2.6,78.8,88,20,12.75,1602704846
NO,Mehamn,71.04,27.85,39.2,77,40,11.41,1602704846
US,Kirkwood,38.58,-90.41,84.99,18,40,21.92,1602704811
TN,Rafrāf,37.19,10.18,73.4,49,20,3.36,1602704583
NE,Tahoua,14.89,5.27,92.79,24,0,6.11,1602704847
BR,Pitimbu,-7.47,-34.81,82.4,69,75,13.87,1602704847
RU,Mezen',65.85,44.24,32.29,95,19,7.74,1602704848
BR,Alta Floresta,-9.88,-56.09,90.32,41,81,3.4,1602704848
UA,Balakliya,49.46,36.86,60.8,72,40,8.95,1602704848
RU,Uryupinsk,50.8,42.01,54.07,55,0,6.78,1602704849
BR,São João da Barra,-21.64,-41.05,84.2,62,83,13.87,1602704849
MU,Bambous Virieux,-20.34,57.76,73.99,83,20,5.82,1602704849
ID,Loa Janan,-0.58,117.09,75.52,97,100,1.74,1602704850
LY,Benghazi,32.12,20.07,72.09,58,0,6.8,1602704850
NO,Vardø,70.37,31.11,35.6,78,40,16.11,1602704851
VE,San Cristobal,7.77,-72.22,82.4,69,40,4.7,1602704851
RU,Okha,53.57,142.95,34.05,87,100,6.76,1602704851
US,Russell,32.35,-85.2,82.4,51,40,12.75,1602704852
CA,Smithers,54.78,-127.17,41.0,80,75,3.36,1602704852
ZM,Kasempa,-13.46,25.83,69.73,71,18,6.31,1602704852
BR,Conde,-7.26,-34.91,82.4,69,75,13.87,1602704853
NP,Jumla,29.27,82.18,50.11,53,52,3.98,1602704853
IS,Grindavik,63.84,-22.43,48.2,81,90,27.51,1602704854
BR,São Fidélis,-21.65,-41.75,84.2,62,48,13.87,1602704854
CL,Coquimbo,-29.95,-71.34,62.6,63,8,11.41,1602704634
IT,Anzio,41.49,12.62,69.01,82,40,13.87,1602704855
RU,Sangar,63.92,127.47,16.25,96,100,6.2,1602704855
US,South Bend,41.68,-86.25,68.0,42,1,14.99,1602704590
US,Pacific Grove,36.62,-121.92,87.01,56,1,5.82,1602704855
CA,Bay Roberts,47.6,-53.26,55.0,70,0,15.19,1602704855
US,Presque Isle,46.68,-68.02,53.6,76,90,12.75,1602704856
US,San Patricio,28.02,-97.52,91.99,52,40,8.05,1602704856
CN,Nanzhou,29.36,112.4,56.68,94,100,14.72,1602704856
VG,Road Town,18.42,-64.62,86.0,74,20,6.93,1602704857
NO,Brekstad,63.69,9.67,46.99,87,75,9.17,1602704857
CI,San-Pédro,4.75,-6.64,76.19,92,43,5.7,1602704857
CA,Burns Lake,54.23,-125.75,45.5,56,0,10.56,1602704857
US,Yarmouth,41.71,-70.23,66.99,63,0,5.14,1602704857
CN,Encheng,22.18,112.3,78.01,74,91,6.4,1602704858
UA,Shevchenkove,49.7,37.17,60.8,72,40,8.95,1602704858
CO,Cartagena,10.4,-75.51,82.4,83,40,1.12,1602704645
AU,Byron Bay,-28.65,153.62,55.0,87,8,9.46,1602704858
RU,Balgazyn,51.0,95.2,30.56,92,0,3.2,1602704859
SB,Buala,-8.14,159.59,79.38,78,69,1.19,1602704859
PE,Huarmey,-10.07,-78.15,69.46,66,14,10.16,1602704859
CN,Shenjiamen,29.96,122.3,68.43,73,46,15.5,1602704859
TM,Baharly,38.44,57.43,58.64,31,0,5.95,1602704859
CN,Renqiu,38.7,116.09,50.74,74,71,4.0,1602704860
SA,Abhā,18.22,42.51,64.4,72,0,8.5,1602704860
GH,Esim,4.87,-2.24,77.52,87,17,9.4,1602704860
CN,Xinzhi,36.5,111.7,52.03,69,65,3.09,1602704860
RU,Zhigansk,66.77,123.37,11.44,94,31,8.16,1602704861
BR,Entre Rios,-11.94,-38.08,79.03,59,0,8.66,1602704861
CA,Pangnirtung,66.15,-65.71,37.4,51,75,14.99,1602704861
MZ,Nampula,-15.12,39.27,71.6,68,11,11.41,1602704861
MW,Nkhata Bay,-11.61,34.29,76.14,77,56,5.99,1602704862
PG,Bulolo,-7.2,146.65,68.05,74,97,1.74,1602704862
AU,Seddon,-37.81,144.89,69.01,63,87,21.92,1602704815
US,Black Diamond,47.31,-122.0,61.0,75,51,8.14,1602704702
BR,Rio Grande,-32.03,-52.1,62.96,81,22,8.93,1602704863
BR,Touros,-5.2,-35.46,82.4,69,75,14.99,1602704863
AU,Yulara,-25.24,130.99,60.8,29,0,3.36,1602704863
GA,Port-Gentil,-0.72,8.78,78.8,78,75,12.75,1602704863
NO,Kjøllefjord,70.95,27.35,37.4,76,40,12.75,1602704864
US,Guymon,36.68,-101.48,93.2,8,1,4.7,1602704689
PH,Siocon,7.71,122.14,77.56,88,100,7.9,1602704864
PW,Kloulklubed,7.04,134.26,77.0,94,90,3.36,1602704864
CD,Lodja,-3.48,23.43,72.01,89,14,0.89,1602704864
NZ,Dunedin,-45.87,170.5,42.01,73,0,1.99,1602704865
ZM,Mwense,-10.38,28.7,73.42,73,93,2.51,1602704865
IN,Yārāda,17.65,83.27,80.6,94,75,2.24,1602704865
CD,Gemena,3.25,19.77,72.46,93,95,0.36,1602704865
GB,Newport,51.59,-3.0,54.0,88,100,1.01,1602704865
IN,Kavaratti,10.57,72.64,81.95,77,98,21.07,1602704866
RU,Srednekolymsk,67.45,153.68,30.51,90,52,2.75,1602704866
ID,Biak,-0.91,122.88,77.23,79,93,3.91,1602704866
US,Grand Forks,47.94,-97.43,42.8,100,90,18.34,1602704866
ZA,Pietermaritzburg,-29.62,30.39,66.0,91,90,1.99,1602704867
ES,Cabra,37.47,-4.44,60.01,47,0,6.24,1602704867
MG,Vangaindrano,-23.35,47.6,70.07,90,100,9.37,1602704867
RU,Nyrob,60.73,56.72,32.61,93,1,5.97,1602704867
US,Ukiah,39.15,-123.21,81.0,34,1,4.7,1602704868
NG,Wamba,8.93,8.6,74.8,90,92,1.57,1602704868
CN,Huangmei,30.19,116.03,63.14,84,100,7.87,1602704868
SS,Yambio,4.57,28.4,69.26,88,3,2.71,1602704868
RU,Belyye Berega,53.21,34.66,54.43,77,58,5.55,1602704869
IR,Shahr-e Bābak,30.12,55.12,44.37,44,0,4.72,1602704869
CI,Agnibilékrou,7.13,-3.2,73.13,97,81,1.48,1602704869
RU,Davlekanovo,54.22,55.03,48.2,34,98,11.18,1602704869
BR,Uauá,-9.84,-39.48,92.03,21,44,17.34,1602704870
ML,Tombouctou,20.0,-3.0,96.69,12,0,5.75,1602704870
TZ,Chake Chake,-5.25,39.77,78.06,81,0,9.35,1602704870
RU,Tazovsky,67.47,78.7,31.39,93,70,20.83,1602704600
UY,Treinta y Tres,-33.23,-54.38,73.71,64,6,4.88,1602704871
BR,Itarema,-2.92,-39.92,81.63,70,77,18.59,1602704871
CD,Luebo,-5.35,21.42,72.01,86,90,0.49,1602704871
EC,La Libertad,-2.23,-80.9,80.6,65,97,9.17,1602704871
JP,Muroto-misakicho,33.28,134.15,68.74,74,0,13.4,1602704871
PE,Hualmay,-11.1,-77.61,67.93,68,16,9.06,1602704872
NG,Gashua,12.87,11.05,93.45,25,31,2.51,1602704872
RU,Aykhal,66.0,111.5,17.6,92,90,4.47,1602704872
ID,Ubud,-8.51,115.27,80.6,88,40,8.05,1602704872
RU,Peshkovo,47.02,39.39,57.2,76,0,4.47,1602704873
PG,Samarai,-10.62,150.67,78.62,85,44,15.39,1602704873
IS,Husavik,66.04,-17.34,48.2,57,100,18.34,1602704873
AU,Wonthaggi,-38.6,145.59,70.0,60,100,16.26,1602704604
GE,Lentekhi,42.79,42.73,61.02,42,100,4.63,1602704873
NC,Noumea,-22.28,166.46,69.8,94,75,4.7,1602704835
RU,Kholodnyy,62.72,147.95,22.12,91,0,1.66,1602704874
KE,Garissa,-0.45,39.64,78.69,66,46,18.07,1602704874
GB,Southampton,50.9,-1.4,51.8,81,100,11.41,1602704874
LT,Panevezys,55.73,24.35,44.6,100,90,10.29,1602704875
MZ,Chimoio,-19.12,33.48,66.2,100,75,14.99,1602704875
FR,Challans,46.84,-1.87,48.99,88,53,10.2,1602704875
IN,Bhaderwah,32.98,75.72,55.54,40,0,2.51,1602704875
MX,Acapulco de Juárez,16.86,-99.89,87.8,70,75,5.82,1602704875
NC,Poum,-20.23,164.02,74.64,85,100,11.77,1602704876
US,Binghamton,42.1,-75.92,66.99,36,1,13.87,1602704750
CA,Athabasca,54.72,-113.29,39.78,66,79,13.04,1602704876
MX,Celestún,20.87,-90.4,83.43,69,22,12.71,1602704876
PH,Palauig,15.44,119.9,81.27,73,100,7.49,1602704876
US,Makakilo City,21.35,-158.09,82.4,65,1,4.7,1602704877
RU,Zabaykal'sk,49.63,117.32,25.05,88,0,7.29,1602704877
PT,Ribeira Brava,32.65,-17.07,71.6,73,75,10.29,1602704877
PG,Vanimo,-2.67,141.3,77.5,85,100,4.54,1602704878
NO,Farnes,61.32,7.8,32.0,73,3,8.05,1602704878
LY,Nālūt,30.33,10.85,61.56,30,0,4.65,1602704878
NI,Corn Island,12.17,-83.04,80.53,79,100,16.37,1602704878
CN,Dongkan,34.0,119.83,60.42,80,100,7.63,1602704879
RU,Lokosovo,61.13,74.82,36.03,95,100,14.7,1602704879
NC,Vao,-22.67,167.48,71.89,85,55,15.61,1602704636
